year,day,rpt_time,date,time,atmp_min,atmp_max,atmp_mint,atmp_maxt,relh_min,relh_max,relh_mint,relh_maxt,dwpt_min,dwpt_max,dwpt_mint,dwpt_maxt,pcpn,wspd_max,wspd_maxt,srad,sden_max,sden_maxt,stmp_05cm_min,stmp_05cm_max,stmp_05cm_mint,stmp_05cm_maxt,stmp_10cm_min,stmp_10cm_max,stmp_10cm_mint,stmp_10cm_maxt,stmp_20cm_min,stmp_20cm_max,stmp_20cm_mint,stmp_20cm_maxt,stmp_50cm_min,stmp_50cm_max,stmp_50cm_mint,stmp_50cm_maxt,smst_05cm_min,smst_05cm_max,smst_05cm_mint,smst_05cm_maxt,smst_10cm_min,smst_10cm_max,smst_10cm_mint,smst_10cm_maxt,smst_20cm_min,smst_20cm_max,smst_20cm_mint,smst_20cm_maxt,smst_50cm_min,smst_50cm_max,smst_50cm_mint,smst_50cm_maxt,volt_min,volt_mint,rpet,id
2019,100,2400,4/11/2019,0:00:00,-0.047,6.414,2356,1610,48.47,91.6,2204,617,-6.185,0.537,2204,1104,0,8.45,2227,9027.065,33.04,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,654,1.483,80
2019,101,2400,4/12/2019,0:00:00,-1.34,4.347,145,1813,64.56,98.1,714,108,-6.256,-0.387,714,1642,0.254,16.2,1249,6076.076,29.14,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,711,1.026,81
2019,102,2400,4/13/2019,0:00:00,2.347,9.73,2400,1441,47.6,100,1553,750,-3.357,7.065,2033,924,7.62,17.2,1500,14912.59,75.39,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,635,1.968,82
2019,103,2400,4/14/2019,0:00:00,0.788,7.223,448,1309,46.75,73.61,1310,2341,-4.911,-1.835,1344,1058,0,11.2,1208,15024.82,82.7,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,523,1.962,83
2019,104,2400,4/15/2019,0:00:00,-1.123,2.772,2119,949,66.16,100,942,1604,-3.39,-0.33,917,1623,0.254,8.7,944,3824.545,28.89,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,2347,0.494,84
2019,105,2400,4/16/2019,0:00:00,-3.107,8.26,707,1806,27.72,100,1548,2400,-10.2,0.347,1546,959,6.35,7.2,40,27438.7,58.42,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,447,2.914,85
2019,106,2400,4/17/2019,0:00:00,1.156,13.99,610,1659,45.53,99.6,109,1136,-7.611,10.06,109,1659,7.112,5.95,935,8525.952,49.7,1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,735,1.232,86
2019,107,2400,4/18/2019,0:00:00,3.338,13.66,856,2359,82.9,100,2359,36,3.338,10.83,856,2359,4.318,9.7,1454,7625.676,51.15,1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,640,0.859,87
2019,108,2400,4/19/2019,0:00:00,3.127,16.67,2324,243,78.12,100,154,1731,2.574,13.42,2359,342,3.81,10.45,357,3212.738,19.3,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79,622,0.629,88
2019,109,2400,4/20/2019,0:00:00,3.196,12.64,6,1757,46.23,96.2,1803,30,-2.952,5.263,2335,1430,0,13.45,1536,14414.84,83.9,1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,504,2.098,89
